dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
7,0.5,0.25,18,4,61,0.818,3.389,0.21686746987951808
7,0.5,0.3,18,4,67,0.818,3.722,0.20224719101123595
7,0.5,0.35,18,4,72,0.818,4.0,0.1914893617021277
7,0.5,0.4,18,4,75,0.818,4.167,0.1855670103092784
7,0.5,0.45,18,4,77,0.818,4.2780000000000005,0.18181818181818185
7,0.55,0.1,18,4,33,0.818,1.833,0.3272727272727273
7,0.55,0.15,19,3,42,0.8640000000000001,2.211,0.296875
7,0.55,0.2,19,3,51,0.8640000000000001,2.684,0.2602739726027397
7,0.55,0.25,18,4,64,0.818,3.556,0.20930232558139536
7,0.55,0.3,18,4,69,0.818,3.833,0.1978021978021978
7,0.55,0.35,18,4,75,0.818,4.167,0.1855670103092784
7,0.55,0.4,18,4,80,0.818,4.444,0.17647058823529413
7,0.55,0.45,18,4,83,0.818,4.6110000000000015,0.17142857142857146
7,0.6,0.1,18,4,37,0.818,2.056,0.3050847457627119
7,0.6,0.15,19,3,47,0.8640000000000001,2.474,0.2753623188405797
7,0.6,0.2,19,3,58,0.8640000000000001,3.053,0.2375
7,0.6,0.25,18,4,73,0.818,4.056,0.18947368421052632
7,0.6,0.3,18,4,80,0.818,4.444,0.17647058823529413
7,0.6,0.35,18,4,84,0.818,4.667,0.16981132075471694
7,0.6,0.4,18,4,88,0.818,4.8889999999999985,0.16363636363636366
7,0.6,0.45,18,4,88,0.818,4.8889999999999985,0.16363636363636366
7,0.65,0.1,18,4,36,0.818,2.0,0.3103448275862069
7,0.65,0.15,19,3,48,0.8640000000000001,2.526,0.2714285714285714
7,0.65,0.2,19,3,59,0.8640000000000001,3.105,0.2345679012345679
7,0.65,0.25,18,4,72,0.818,4.0,0.1914893617021277
7,0.65,0.3,18,4,77,0.818,4.2780000000000005,0.18181818181818185
